Province,Year,T2M_mean,T2M_std,T2M_max,T2M_min,T2M_MAX_max,T2M_MIN_min,RH2M_mean,RH2M_std,CLOUD_AMT_mean,PRECTOTCORR_sum,PRECTOTCORR_max,PRECTOTCORR_std,GWETPROF_mean,CLRSKY_SFC_SW_DWN_mean,hot_day_sum,cold_day_sum,rainy_day_sum,heavy_rain_sum,dry_day_sum,GDD_sum,rain_intensity,dry_ratio,hot_ratio,PRECTOTCORR_sum_lag1,T2M_mean_lag1,GDD_sum_lag1,Commodity,Yield,Elevation,Landcover,Lat,Lon,Ndvi_mean,Soil_clay,Soil_ph,Soil_sand,Soil_soc
Kiên Giang,2014,28.14076712328767,1.754519740497455,33.3,23.37,39.8,17.99,75.51942465753424,10.368009968746543,71.3614794520548,1078.88,33.64,4.92481919959789,0.728986301369863,23.86372602739726,78,0,161,8,95,6621.38,6.659753086419753,0.2602739726027397,0.2136986301369863,1129.62,27.93454794520548,6546.11,Lúa thu đông,11.107898457436384,8.0,40,9.9167,105.15,0.5305359420289855,39,5.1,27,0.8
Thanh Hóa,2014,23.550575342465752,5.237269961162364,30.35,10.21,36.76,5.34,84.3511506849315,5.478714585324863,76.41424657534247,1518.69,65.46,8.98650099822944,0.7903287671232876,21.58827397260274,8,30,151,19,82,4945.96,9.991381578947369,0.2246575342465753,0.021917808219178,1744.01,23.30328767123288,4856.28,Khoai lang,6.876404494382022,11.0,50,19.8067,105.7767,0.2927501449275362,27,6.2,40,0.2
Sóc Trăng,2008,26.97248633879781,1.2857546554686965,30.95,22.75,38.0,20.81,81.71521857923497,9.162403724290234,76.90726775956284,1689.17,44.97,7.034542898277661,0.788688524590164,23.84554644808743,23,0,193,16,73,6211.93,8.707061855670103,0.2,0.0630136986301369,0.0,0.0,0.0,Lúa hè thu,5.111387678904792,-1.0,40,9.5664,105.8764,0.5491060869565217,32,6.1,34,0.6
Kiên Giang,2015,28.13539726027397,1.6211453584023223,32.25,24.89,38.78,19.27,76.65958904109588,10.897251624263667,68.21980821917808,1300.23,51.1,5.8657446649324365,0.7516986301369863,23.68002739726027,87,0,187,8,38,6619.42,6.9161170212765954,0.1041095890410958,0.2383561643835616,1078.88,28.14076712328767,6621.38,Lúa,6.033788174139051,8.0,40,9.9167,105.15,0.5305359420289855,39,5.1,27,0.8
Bắc Ninh,2023,24.19580821917808,5.199829003574614,31.66,9.41,39.17,3.68,82.49391780821918,6.757628716668802,75.82268493150684,1578.02,105.26,10.116615850656665,0.7427397260273974,21.54309589041096,18,27,160,20,53,5182.21,9.80136645962733,0.1452054794520547,0.0493150684931506,2101.15,23.267698630136984,4846.42,Lúa mùa,6.155172413793103,6.0,50,21.1212,106.088,0.3873540697674418,25,5.5,45,0.6
Vĩnh Phúc,2023,23.677561643835617,5.329799320455414,31.7,9.1,39.35,2.89,82.23764383561644,6.948339665241448,77.52123287671233,1526.29,50.13,8.748860199907824,0.7429041095890412,21.7673698630137,17,35,153,24,61,4994.68,9.910974025974026,0.1671232876712328,0.0465753424657534,2000.0,22.71832876712329,4645.59,Lạc,2.0018885741265344,33.0,10,21.3614,105.5401,0.4950447674418605,28,5.7,43,0.4
Tuyên Quang,2020,23.46844262295082,5.296987309238439,31.82,9.84,37.27,5.03,82.3324863387978,6.56855286024974,85.75150273224044,2022.87,72.51,9.024599946904118,0.8402185792349727,21.39483606557377,23,21,202,27,30,4929.61,9.96487684729064,0.0821917808219178,0.0630136986301369,1815.62,24.12876712328767,5157.63,Lúa mùa,5.777777777777778,42.0,50,21.8235,105.2131,0.370853488372093,31,6.5,32,0.4
Kiên Giang,2012,27.642677595628413,1.114055378417789,30.88,25.61,37.07,21.73,80.95549180327869,7.973650315038177,77.35469945355192,1469.83,53.73,6.813651854946742,0.7797267759562841,23.77374316939891,31,0,198,10,62,6457.22,7.38608040201005,0.1698630136986301,0.084931506849315,1401.59,27.40772602739726,6353.82,Lúa,5.912425872293476,8.0,40,9.9167,105.15,0.5305359420289855,39,5.1,27,0.8
Bạc Liêu,2023,27.581945205479453,1.3742435670596012,31.88,23.43,37.6,20.32,82.86506849315069,8.081608941662221,79.44986301369863,2432.66,76.66,10.483569629650868,0.8082191780821918,23.73032876712329,40,0,223,32,48,6417.41,10.860089285714285,0.1315068493150684,0.1095890410958904,2495.54,27.07213698630137,6231.33,Lúa mùa,5.838709677419355,4.0,50,9.2825,105.7261,0.295888115942029,31,5.5,44,0.2
Quảng Ngãi,2011,24.516931506849318,3.0701561345232453,29.71,17.09,36.07,15.54,83.5627397260274,6.701868252784108,72.9953698630137,1585.46,113.11,11.48930768252091,0.7383013698630138,22.96183561643836,13,0,162,17,38,5298.68,9.72674846625767,0.1041095890410958,0.0356164383561643,1495.69,25.45786301369863,5642.12,Khoai lang,6.166666666666667,10.0,50,15.12,108.8,0.3424921739130435,32,6.0,42,0.4
