Province,Year,T2M_mean,T2M_std,T2M_max,T2M_min,T2M_MAX_max,T2M_MIN_min,RH2M_mean,RH2M_std,CLOUD_AMT_mean,PRECTOTCORR_sum,PRECTOTCORR_max,PRECTOTCORR_std,GWETPROF_mean,CLRSKY_SFC_SW_DWN_mean,hot_day_sum,cold_day_sum,rainy_day_sum,heavy_rain_sum,dry_day_sum,low_moisture_sum,GDD_sum,rain_intensity,dry_ratio,hot_ratio,PRECTOTCORR_sum_lag1,T2M_mean_lag1,GDD_sum_lag1,Commodity,Value,Elevation,Landcover,Ndvi_mean,Soil_clay,Soil_ph,Soil_sand,Soil_soc,Price,Revenue,Label
Bình Dương,2014,28.002082191780826,1.891671173431258,33.25,23.5,41.1,16.94,72.51293150684931,12.763027449604648,68.50956164383562,1070.81,49.33,6.618344538495057,0.5801643835616438,23.907780821917807,120,0,128,12,123,0,6570.76,8.300852713178294,0.336986301369863,0.3287671232876712,1012.22,27.651342465753423,6442.74,Lúa thu đông,6700.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6446000.0,43188200000.0,Sắn
Bình Dương,2015,28.38868493150685,1.8572943282871732,33.07,24.16,41.21,18.27,70.93821917808219,13.564676669152217,63.89084931506849,981.09,46.2,5.996042838280984,0.5614520547945205,23.910246575342462,159,0,125,10,116,0,6711.87,7.786428571428572,0.3178082191780822,0.4356164383561643,1070.81,28.002082191780826,6570.76,Lúa mùa,13500.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6229000.0,84091500000.0,Sắn
Bình Dương,2015,28.38868493150685,1.8572943282871732,33.07,24.16,41.21,18.27,70.93821917808219,13.564676669152217,63.89084931506849,981.09,46.2,5.996042838280984,0.5614520547945205,23.910246575342462,159,0,125,10,116,0,6711.87,7.786428571428572,0.3178082191780822,0.4356164383561643,1070.81,28.002082191780826,6570.76,Ngô,700.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,7149000.0,5004300000.0,Sắn
Bình Dương,2015,28.38868493150685,1.8572943282871732,33.07,24.16,41.21,18.27,70.93821917808219,13.564676669152217,63.89084931506849,981.09,46.2,5.996042838280984,0.5614520547945205,23.910246575342462,159,0,125,10,116,0,6711.87,7.786428571428572,0.3178082191780822,0.4356164383561643,1070.81,28.002082191780826,6570.76,Lúa,31400.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6229000.0,195590600000.0,Sắn
Bình Dương,2015,28.38868493150685,1.8572943282871732,33.07,24.16,41.21,18.27,70.93821917808219,13.564676669152217,63.89084931506849,981.09,46.2,5.996042838280984,0.5614520547945205,23.910246575342462,159,0,125,10,116,0,6711.87,7.786428571428572,0.3178082191780822,0.4356164383561643,1070.81,28.002082191780826,6570.76,Lúa hè thu,6400.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6229000.0,39865600000.0,Sắn
Bình Dương,2015,28.38868493150685,1.8572943282871732,33.07,24.16,41.21,18.27,70.93821917808219,13.564676669152217,63.89084931506849,981.09,46.2,5.996042838280984,0.5614520547945205,23.910246575342462,159,0,125,10,116,0,6711.87,7.786428571428572,0.3178082191780822,0.4356164383561643,1070.81,28.002082191780826,6570.76,Khoai lang,1600.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,7017000.0,11227200000.0,Sắn
Bình Dương,2015,28.38868493150685,1.8572943282871732,33.07,24.16,41.21,18.27,70.93821917808219,13.564676669152217,63.89084931506849,981.09,46.2,5.996042838280984,0.5614520547945205,23.910246575342462,159,0,125,10,116,0,6711.87,7.786428571428572,0.3178082191780822,0.4356164383561643,1070.81,28.002082191780826,6570.76,Lúa đông xuân,11500.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6229000.0,71633500000.0,Sắn
Bình Dương,2015,28.38868493150685,1.8572943282871732,33.07,24.16,41.21,18.27,70.93821917808219,13.564676669152217,63.89084931506849,981.09,46.2,5.996042838280984,0.5614520547945205,23.910246575342462,159,0,125,10,116,0,6711.87,7.786428571428572,0.3178082191780822,0.4356164383561643,1070.81,28.002082191780826,6570.76,Sắn,87000.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,2903000.0,252561000000.0,Sắn
Bình Dương,2015,28.38868493150685,1.8572943282871732,33.07,24.16,41.21,18.27,70.93821917808219,13.564676669152217,63.89084931506849,981.09,46.2,5.996042838280984,0.5614520547945205,23.910246575342462,159,0,125,10,116,0,6711.87,7.786428571428572,0.3178082191780822,0.4356164383561643,1070.81,28.002082191780826,6570.76,Lúa thu đông,6400.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6229000.0,39865600000.0,Sắn
Bình Dương,2016,28.2701912568306,2.1348558621981306,33.66,24.51,41.83,17.05,74.71131147540984,14.824239699184623,70.30292349726776,1211.6,40.16,6.440987703218229,0.6046448087431694,23.75606557377049,135,0,160,13,103,0,6686.89,7.525465838509316,0.2821917808219178,0.3698630136986301,981.09,28.38868493150685,6711.87,Lúa mùa,13600.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6342000.0,86251200000.0,Sắn
Bình Dương,2016,28.2701912568306,2.1348558621981306,33.66,24.51,41.83,17.05,74.71131147540984,14.824239699184623,70.30292349726776,1211.6,40.16,6.440987703218229,0.6046448087431694,23.75606557377049,135,0,160,13,103,0,6686.89,7.525465838509316,0.2821917808219178,0.3698630136986301,981.09,28.38868493150685,6711.87,Ngô,800.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6093000.0,4874400000.0,Sắn
Bình Dương,2016,28.2701912568306,2.1348558621981306,33.66,24.51,41.83,17.05,74.71131147540984,14.824239699184623,70.30292349726776,1211.6,40.16,6.440987703218229,0.6046448087431694,23.75606557377049,135,0,160,13,103,0,6686.89,7.525465838509316,0.2821917808219178,0.3698630136986301,981.09,28.38868493150685,6711.87,Lúa,30600.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6342000.0,194065200000.0,Sắn
Bình Dương,2016,28.2701912568306,2.1348558621981306,33.66,24.51,41.83,17.05,74.71131147540984,14.824239699184623,70.30292349726776,1211.6,40.16,6.440987703218229,0.6046448087431694,23.75606557377049,135,0,160,13,103,0,6686.89,7.525465838509316,0.2821917808219178,0.3698630136986301,981.09,28.38868493150685,6711.87,Lúa hè thu,6100.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6342000.0,38686200000.0,Sắn
Bình Dương,2016,28.2701912568306,2.1348558621981306,33.66,24.51,41.83,17.05,74.71131147540984,14.824239699184623,70.30292349726776,1211.6,40.16,6.440987703218229,0.6046448087431694,23.75606557377049,135,0,160,13,103,0,6686.89,7.525465838509316,0.2821917808219178,0.3698630136986301,981.09,28.38868493150685,6711.87,Khoai lang,1500.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,8197000.0,12295500000.0,Sắn
Bình Dương,2016,28.2701912568306,2.1348558621981306,33.66,24.51,41.83,17.05,74.71131147540984,14.824239699184623,70.30292349726776,1211.6,40.16,6.440987703218229,0.6046448087431694,23.75606557377049,135,0,160,13,103,0,6686.89,7.525465838509316,0.2821917808219178,0.3698630136986301,981.09,28.38868493150685,6711.87,Lúa đông xuân,10900.0,58.0,10,0.6092527536231884,26,5.3,52,0.4,6342000.0,69127800000.0,Sắn
